,ACO,MC
1,432.733,1625.7
2,429.53,1649.72
3,432.287,1669.62
4,428.872,1719.33
5,430.396,1710.54
6,431.612,1756.29
7,429.737,1769.14
8,432.734,1742.34
9,432.459,1483.85
10,430.349,1681.41
11,433.543,1646.25
12,430.861,1785.64
13,433.51,1583.28
14,434.024,1685.27
15,431.612,1716.26
16,434.052,1681.38
17,434.696,1650.98
18,434.298,1567.18
19,434.182,1594.78
20,430.445,1518.97
21,429.53,1745.09
22,432.781,1598.49
23,433.221,1552.19
24,430.445,1611.74
25,431.924,1731.78
26,431.311,1650.61
27,431.433,1505.33
28,431.924,1640.66
29,432.404,1645.81
30,433.599,1688.23
31,434.052,1630.96
32,434.232,1594.91
33,432.584,1698.93
34,433.549,1680.17
35,432.287,1661.74
36,433.186,1591.71
37,433.711,1669.35
38,434.263,1543.92
39,431.756,1559.19
40,433.549,1591.67
41,433.935,1762.01
42,429.737,1441.3
43,434.621,1558.03
44,432.378,1644.69
45,433.028,1578.15
46,434.252,1588.05
47,434.052,1633.94
48,431.86,1780.76
49,433.041,1760.24
50,434.838,1510.3
